protein_a	protein_b	involves_dark	genetic_assays
Q24306	Q8IRY7	0	Phenotypic Enhancement
Q24306	Q24475	0	Phenotypic Enhancement;Phenotypic Suppression
Q24306	Q24307	0	Phenotypic Suppression
Q24214	Q27889	0	Phenotypic Suppression
Q24186	Q9VFE4	0	Phenotypic Enhancement;Phenotypic Suppression
Q24151	Q9W0G1	0	Phenotypic Suppression
Q24151	Q24592	0	Phenotypic Enhancement;Phenotypic Suppression
Q24117	Q24246	0	Phenotypic Enhancement
Q24114	Q9VVX3	0	Phenotypic Enhancement;Phenotypic Suppression
Q24114	Q9V3L1	0	Phenotypic Enhancement
Q23983	Q24547	0	Phenotypic Enhancement
Q16795	Q99643	0	Positive Genetic
Q16706	Q9BYC5	0	Negative Genetic
Q15910	Q9BY41	0	Negative Genetic
Q15910	Q86X55	0	Positive Genetic
Q15437	Q9NR31	0	Positive Genetic
Q15436	Q15437	0	Negative Genetic
Q15334	Q6P1M3	0	Negative Genetic
Q15208	Q9Y2H1	0	Negative Genetic
Q15181	Q9H2U2	0	Negative Genetic
Q14703	Q9H741	0	Negative Genetic
Q14681	Q9NXV2	0	Negative Genetic
Q14457	Q9NT62	0	Phenotypic Enhancement
Q14457	Q9H0Y0	0	Phenotypic Enhancement
Q14145	Q9UH77	0	Negative Genetic
Q14145	Q53G59	0	Negative Genetic
Q13868	Q99547	0	Negative Genetic
Q13868	Q969X6	0	Negative Genetic
Q13868	Q92979	0	Negative Genetic
Q13829	Q9H3F6	0	Negative Genetic
Q13724	Q9UKM7	0	Negative Genetic
Q13619	Q13620	0	Negative Genetic
Q13616	Q13618	0	Negative Genetic
Q13573	Q15796	0	Phenotypic Enhancement
Q13554	Q13555	0	Negative Genetic
Q13547	Q92769	0	Negative Genetic
Q13363	Q9BZK7	0	Positive Genetic
Q13362	Q16537	0	Negative Genetic
Q13356	Q9Y3C6	0	Negative Genetic
Q13153	Q13177	0	Negative Genetic
Q13107	Q9Y4E8	0	Negative Genetic
Q13043	Q13188	0	Negative Genetic
Q13042	Q9BS18	0	Negative Genetic
Q12981	Q6NUQ1	0	Negative Genetic
Q12974	Q93096	0	Negative Genetic
Q12933	Q13114	0	Negative Genetic
Q12509	Q12692	0	Phenotypic Suppression;Positive Genetic;Synthetic Rescue
Q12466	Q6Q595	0	Phenotypic Suppression
Q12464	Q12499	0	Synthetic Growth Defect
Q12460	Q12499	0	Negative Genetic
Q12432	Q12692	0	Negative Genetic;Synthetic Growth Defect
Q12432	Q12464	0	Negative Genetic
Q12402	Q99287	0	Negative Genetic;Phenotypic Enhancement
Q12400	Q12463	0	Negative Genetic
Q12395	Q92325	0	Dosage Growth Defect;Synthetic Growth Defect
Q12386	Q12692	0	Dosage Rescue;Negative Genetic;Phenotypic Suppression
Q12386	Q12509	0	Positive Genetic
Q12382	Q99287	0	Negative Genetic
Q12368	Q99181	0	Negative Genetic
Q12368	Q6Q546	0	Negative Genetic
Q12368	Q12417	0	Negative Genetic
Q12341	Q12373	0	Phenotypic Enhancement;Phenotypic Suppression
Q12330	Q99177	0	Negative Genetic;Synthetic Growth Defect;Synthetic Lethality
Q12330	Q12368	0	Negative Genetic
Q12311	Q12432	0	Phenotypic Enhancement
Q12309	Q99181	0	Negative Genetic
Q12309	Q12417	0	Negative Genetic
Q12309	Q12330	0	Negative Genetic
Q12306	Q12749	0	Negative Genetic;Synthetic Growth Defect
Q12306	Q12499	0	Negative Genetic
Q12211	Q12400	0	Negative Genetic;Synthetic Growth Defect
Q12196	Q99216	0	Phenotypic Suppression
Q12167	Q12393	0	Synthetic Growth Defect
Q12164	Q99287	0	Negative Genetic
Q12159	Q99257	0	Dosage Rescue;Negative Genetic;Synthetic Rescue
Q12159	Q6WNK7	0	Synthetic Lethality
Q12159	Q12315	0	Negative Genetic
Q12154	Q99382	0	Negative Genetic;Synthetic Lethality
Q12154	Q12431	0	Negative Genetic
Q12149	Q99257	0	Phenotypic Enhancement;Phenotypic Suppression
Q12149	Q12460	0	Negative Genetic
Q12149	Q12277	0	Negative Genetic
Q12149	Q12159	0	Negative Genetic;Synthetic Lethality
Q12146	Q12488	0	Dosage Rescue;Negative Genetic
Q12144	Q99287	0	Synthetic Growth Defect
Q12143	Q12748	0	Negative Genetic
Q12143	Q12262	0	Negative Genetic
Q12125	Q99382	0	Negative Genetic
Q12125	Q12154	0	Positive Genetic
Q12118	Q12285	0	Phenotypic Enhancement;Phenotypic Suppression;Synthetic Growth Defect
Q12118	Q12154	0	Dosage Growth Defect;Negative Genetic;Phenotypic Suppression
Q12118	Q12125	0	Phenotypic Suppression
Q12106	Q92328	0	Dosage Rescue;Negative Genetic
Q12099	Q99257	0	Negative Genetic
Q12099	Q12159	0	Negative Genetic
Q12090	Q12149	0	Dosage Rescue
Q12083	Q12175	0	Phenotypic Enhancement
Q12071	Q99260	0	Negative Genetic
Q12052	Q99177	0	Negative Genetic;Synthetic Growth Defect
Q12052	Q12330	0	Negative Genetic;Synthetic Growth Defect;Synthetic Lethality
Q12046	Q12417	0	Negative Genetic
Q12046	Q12309	0	Synthetic Growth Defect
Q12035	Q99207	0	Negative Genetic
Q12035	Q12149	0	Negative Genetic
Q12024	Q12460	0	Negative Genetic
Q12018	Q92325	0	Synthetic Growth Defect
Q12018	Q12395	0	Dosage Lethality;Synthetic Lethality
Q12018	Q12059	0	Negative Genetic;Synthetic Growth Defect
Q12009	Q12400	0	Synthetic Growth Defect
Q12009	Q12211	0	Negative Genetic;Synthetic Growth Defect
Q12008	Q12326	0	Synthetic Growth Defect;Synthetic Lethality
Q12001	Q92316	0	Negative Genetic;Synthetic Lethality
Q09028	Q16576	0	Negative Genetic
Q08985	Q12525	0	Phenotypic Enhancement
Q08972	Q12386	0	Negative Genetic
Q08965	Q99207	0	Negative Genetic
Q08963	Q99181	0	Negative Genetic
Q08963	Q99177	0	Negative Genetic
Q08963	Q12330	0	Negative Genetic;Synthetic Growth Defect;Synthetic Lethality
Q08963	Q12309	0	Negative Genetic
Q08963	Q12052	0	Negative Genetic;Synthetic Growth Defect
Q08962	Q12522	0	Negative Genetic
Q08962	Q12460	0	Negative Genetic
Q08962	Q12024	0	Negative Genetic
Q08924	Q12463	0	Negative Genetic
Q08920	Q99181	0	Negative Genetic
Q08920	Q99177	0	Negative Genetic;Synthetic Growth Defect
Q08920	Q12330	0	Negative Genetic;Synthetic Growth Defect
Q08920	Q12309	0	Negative Genetic
Q08920	Q12052	0	Synthetic Rescue
Q08920	Q08963	0	Negative Genetic
Q08773	Q12692	0	Synthetic Growth Defect
Q08749	Q12328	0	Dosage Rescue;Synthetic Lethality
Q08723	Q12377	0	Negative Genetic;Positive Genetic
Q08723	Q12250	0	Negative Genetic
Q08686	Q12305	0	Phenotypic Enhancement
Q08686	Q08742	0	Phenotypic Enhancement
Q08685	Q12102	0	Negative Genetic
Q08650	Q12382	0	Negative Genetic;Phenotypic Enhancement;Phenotypic Suppression
Q08650	Q12043	0	Phenotypic Enhancement;Phenotypic Suppression;Synthetic Growth Defect
Q08649	Q99314	0	Synthetic Growth Defect
Q08649	Q12692	0	Synthetic Growth Defect;Synthetic Lethality
Q08649	Q12432	0	Negative Genetic;Synthetic Growth Defect
Q08647	Q12009	0	Negative Genetic;Phenotypic Enhancement;Synthetic Growth Defect;Synthetic Lethality
Q08647	Q08972	0	Negative Genetic
Q08496	Q12488	0	Negative Genetic
Q08492	Q12499	0	Negative Genetic
Q08492	Q12460	0	Negative Genetic
Q08492	Q12220	0	Negative Genetic
Q08492	Q12035	0	Negative Genetic
Q08492	Q08965	0	Negative Genetic
Q08491	Q12517	0	Negative Genetic;Synthetic Growth Defect;Synthetic Lethality
Q08446	Q12449	0	Dosage Growth Defect
Q08444	Q3E754	0	Negative Genetic
Q08444	Q12196	0	Dosage Rescue
Q08444	Q12099	0	Negative Genetic
Q08444	Q08745	0	Negative Genetic;Positive Genetic
Q08278	Q12030	0	Negative Genetic
Q08273	Q12018	0	Synthetic Lethality
Q08235	Q12460	0	Negative Genetic
Q08235	Q12153	0	Negative Genetic
Q08235	Q08962	0	Negative Genetic
Q08231	Q6WNK7	0	Phenotypic Enhancement
Q08224	Q08975	0	Phenotypic Enhancement
Q08208	Q12499	0	Negative Genetic
Q08208	Q12460	0	Negative Genetic
Q08208	Q12024	0	Negative Genetic
Q08208	Q08962	0	Negative Genetic
Q08208	Q08237	0	Negative Genetic
Q08204	Q12749	0	Negative Genetic;Synthetic Lethality
Q08204	Q12306	0	Negative Genetic
Q08199	Q12404	0	Phenotypic Enhancement
Q08199	Q08745	0	Negative Genetic
Q08162	Q12517	0	Synthetic Growth Defect;Synthetic Lethality
